計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2023/11/30,【おしりふき まとめ買い】アイリスプラザ 日本製 水分たっぷり99% 保湿成分配合 80枚×36個(2880枚) やわらか パラベン不使用 ウェットティッシュ お尻拭き 販売: アマゾンジャパン合同会社,-3780,Amazon.co.jp,日用品,hl_shop,,0,3WU6t6qii9-tshG_QeiDaOsS0G76e38JKxQusY7_KkI
1,2023/11/30,割引,1134,Amazon.co.jp,収入,ポイント,,0,r6kNAm1yX49iyaykjfYrCszgAhD7Ab2_berBMY9MlTA
1,2023/11/30,ゼブラ ジェルボールペン サラサクリップ 0.5 10色 JJ15-10CA 販売: アマゾンジャパン合同会社,-591,Amazon.co.jp,日用品,hl_shop,,0,9cBJ8lt4p8RombkGCz2K9iEbPH2qrW2P1GpXz5plKNY
1,2023/11/30,[ワコール] ショーツ 【ディアヒップ】 はきこみ丈【ふつう】 PPA111 レディース SG L 販売: アマゾンジャパン合同会社,-880,Amazon.co.jp,日用品,hl_shop,,0,_dOiXSZSs-_c4keiUes3t3ts-9XnjjuwGB50OALd1-8
1,2023/11/30,エレコム iPad Pro 12.9 (第4世代/2020年)(第3世代/2018年) 保護フィルム フルスペック ブルーライトカット 衝撃吸収 硬度9H 高光沢 TB-A20PLFLMFG 販売: 元気屋本舗 【当日お急ぎ便対応】,-2180,Amazon.co.jp,日用品,hl_shop,,0,TPGCByO_fwpEWa66oz405ZwpyvMgZEwWorsI9Y3eEPk
1,2023/11/30,[ウイング/ワコール] ショーツ 【オーガニックコットン混素材】 なめらかな肌ざわり はきこみ丈・ふかめ【デイリーフィットショーツ】 EC3000 レディース PO L 販売: アマゾンジャパン合同会社,-845,Amazon.co.jp,日用品,hl_shop,,0,hz48SDC9aBEPk9f4fTYkzw_PsDM3Ds9En19Peo5hVAo
1,2023/11/30,[ウイング/ワコール] ショーツ しなやかなフィット感 【2750シリーズ】 はきこみ丈あさめ PF2750 レディース CB L 販売: アマゾンジャパン合同会社,-2153,Amazon.co.jp,日用品,hl_shop,,0,1AhvQOLsYA7RFWM6LOwq7D-pagmMK3QUCnprUohH7fM
1,2023/11/30,[ウイング/ワコール] ショーツ Wing Lesiage はきこみ丈・あさめ ペアショーツ【1000シリーズ】 PF1000 レディース SX L 販売: アマゾンジャパン合同会社,-1408,Amazon.co.jp,日用品,hl_shop,,0,AcPmClx79GFtd7shqvLej4baZbz38pUxN0IIS54IN1A
1,2023/11/30,[ウイング/ワコール] ショーツ はきこみ丈・あさめ ペアショーツ【ナチュラルアップブラ】 KF3360 レディース LG L 販売: アマゾンジャパン合同会社,-1212,Amazon.co.jp,日用品,hl_shop,,0,UOStr9o7SqFVGak2o1Rgzjt9ZmWms0jDpt9c1yD0HZs
1,2023/11/30,[グンゼ] ショーツ キレイラボ・完全無縫製・綿混 1分丈 KL2062 レディース ベージュ L 販売: アマゾンジャパン合同会社,-930,Amazon.co.jp,日用品,hl_shop,,0,nsaRBQTen0KaSN2cYRytQai5Sw1EtUAJQYiNQtBJWZo
1,2023/11/30,ヒロインメイクSP スピーディーマスカラリムーバーSK 6.6mL マスカラ用リムーバー 目にしみにくい処方 塗りやすいコーム型 ピンクボトル 販売: アマゾンジャパン合同会社,-924,Amazon.co.jp,日用品,hl_shop,,0,hWIZaPD-sALKrJg8owIjAf-UZ9Rsvdd7azPZOHfF6_s
1,2023/11/30,[ニッセン] ルームウェア パジャマ 長袖 冬 もこもこ ボア シープ調 上下 セット レディース NEWピンク LL 販売: nissen(ニッセン),-2948,Amazon.co.jp,日用品,hl_shop,,0,5yadkiT14l8_gCFceELUWcY31juA5MsbeiYpDKOAf_s
1,2023/11/30,"Muaghyee Compression Wear, Compression Shirt, Men's, Long Sleeve, Sports Innerwear, Undershirt, Sports Shirt, Sweat Absorbent, Quick Drying, 2*323 Black 販売: Muxuryee",-1744,Amazon.co.jp,日用品,hl_shop,,0,eNBbVs1GKebyJUJviqrOjzSIOjHNIuSrjtMJuE6KGCk
1,2023/11/30,"Fila Men's Fitness Long Tights, NV, M 販売: アマゾンジャパン合同会社",-1494,Amazon.co.jp,日用品,hl_shop,,0,YmW8q32DeRXB9psGFp3KH1tggGFgZgPk6_ICj0dyVUg
1,2023/11/30,"Muaghyee Compression Wear, Compression Shirt, Men's, Long Sleeve, Sports Innerwear, Undershirt, Sports Shirt, Sweat Absorbent, Quick Drying, 323 white 販売: Muxuryee",-1039,Amazon.co.jp,日用品,hl_shop,,0,-LkWFWKjDYkKLE_-XqnHnEbpxrcuG-oewGMNiUqCKyg
